Reference period,Geography,VALUE
2021-12-01 00:00:00,Canada,4859594
2021-12-01 00:00:00,Newfoundland and Labrador,52757
2021-12-01 00:00:00,Nova Scotia,0
2021-12-01 00:00:00,New Brunswick,257586
2021-12-01 00:00:00,Quebec,1881275
2021-12-01 00:00:00,Ontario,1442531
2021-12-01 00:00:00,Manitoba,32055
2021-12-01 00:00:00,Saskatchewan,11156
2021-12-01 00:00:00,Alberta,9051
2021-12-01 00:00:00,British Columbia,1173183
2022-01-01 00:00:00,Canada,5361389
2022-01-01 00:00:00,Newfoundland and Labrador,37285
2022-01-01 00:00:00,Nova Scotia,0
2022-01-01 00:00:00,New Brunswick,235469
2022-01-01 00:00:00,Quebec,2020197
2022-01-01 00:00:00,Ontario,1723776
2022-01-01 00:00:00,Manitoba,79657
2022-01-01 00:00:00,Saskatchewan,5124
2022-01-01 00:00:00,Alberta,6937
2022-01-01 00:00:00,British Columbia,1252944
2022-02-01 00:00:00,Canada,4377896
2022-02-01 00:00:00,Newfoundland and Labrador,77859
2022-02-01 00:00:00,Nova Scotia,0
2022-02-01 00:00:00,New Brunswick,218553
2022-02-01 00:00:00,Quebec,1683594
2022-02-01 00:00:00,Ontario,1236780
2022-02-01 00:00:00,Manitoba,178844
2022-02-01 00:00:00,Saskatchewan,4358
2022-02-01 00:00:00,Alberta,5143
2022-02-01 00:00:00,British Columbia,972765
2022-03-01 00:00:00,Canada,4289614
2022-03-01 00:00:00,Newfoundland and Labrador,151642
2022-03-01 00:00:00,Nova Scotia,0
2022-03-01 00:00:00,New Brunswick,217912
2022-03-01 00:00:00,Quebec,1819183
2022-03-01 00:00:00,Ontario,1057019
2022-03-01 00:00:00,Manitoba,367088
2022-03-01 00:00:00,Saskatchewan,1760
2022-03-01 00:00:00,Alberta,448
2022-03-01 00:00:00,British Columbia,674562
2022-04-01 00:00:00,Canada,4594621
2022-04-01 00:00:00,Newfoundland and Labrador,129880
2022-04-01 00:00:00,Nova Scotia,0
2022-04-01 00:00:00,New Brunswick,199152
2022-04-01 00:00:00,Quebec,1765120
2022-04-01 00:00:00,Ontario,1094780
2022-04-01 00:00:00,Manitoba,410222
2022-04-01 00:00:00,Saskatchewan,4297
2022-04-01 00:00:00,Alberta,7784
2022-04-01 00:00:00,British Columbia,983386
2022-05-01 00:00:00,Canada,5172216
2022-05-01 00:00:00,Newfoundland and Labrador,102382
2022-05-01 00:00:00,Nova Scotia,0
2022-05-01 00:00:00,New Brunswick,138824
2022-05-01 00:00:00,Quebec,1736278
2022-05-01 00:00:00,Ontario,1245762
2022-05-01 00:00:00,Manitoba,1172377
2022-05-01 00:00:00,Saskatchewan,9518
2022-05-01 00:00:00,Alberta,3741
2022-05-01 00:00:00,British Columbia,763334
2022-06-01 00:00:00,Canada,6446581
2022-06-01 00:00:00,Newfoundland and Labrador,156611
2022-06-01 00:00:00,Nova Scotia,0
2022-06-01 00:00:00,New Brunswick,152278
2022-06-01 00:00:00,Quebec,2009472
2022-06-01 00:00:00,Ontario,1400775
2022-06-01 00:00:00,Manitoba,1391185
2022-06-01 00:00:00,Saskatchewan,36136
2022-06-01 00:00:00,Alberta,1100
2022-06-01 00:00:00,British Columbia,1299024
2022-07-01 00:00:00,Canada,7482584
2022-07-01 00:00:00,Newfoundland and Labrador,152849
2022-07-01 00:00:00,Nova Scotia,0
2022-07-01 00:00:00,New Brunswick,159704
2022-07-01 00:00:00,Quebec,2415310
2022-07-01 00:00:00,Ontario,1719387
2022-07-01 00:00:00,Manitoba,1490331
2022-07-01 00:00:00,Saskatchewan,46930
2022-07-01 00:00:00,Alberta,2437
2022-07-01 00:00:00,British Columbia,1495636
2022-08-01 00:00:00,Canada,8010999
2022-08-01 00:00:00,Newfoundland and Labrador,155344
2022-08-01 00:00:00,Nova Scotia,0
2022-08-01 00:00:00,New Brunswick,168534
2022-08-01 00:00:00,Quebec,2578773
2022-08-01 00:00:00,Ontario,1661662
2022-08-01 00:00:00,Manitoba,1570081
2022-08-01 00:00:00,Saskatchewan,91182
2022-08-01 00:00:00,Alberta,38185
2022-08-01 00:00:00,British Columbia,1747238
2022-09-01 00:00:00,Canada,5936694
2022-09-01 00:00:00,Newfoundland and Labrador,147427
2022-09-01 00:00:00,Nova Scotia,0
2022-09-01 00:00:00,New Brunswick,169783
2022-09-01 00:00:00,Quebec,1793067
2022-09-01 00:00:00,Ontario,1237401
2022-09-01 00:00:00,Manitoba,1241915
2022-09-01 00:00:00,Saskatchewan,82690
2022-09-01 00:00:00,Alberta,70948
2022-09-01 00:00:00,British Columbia,1193463
2022-10-01 00:00:00,Canada,4611099
2022-10-01 00:00:00,Newfoundland and Labrador,128990
2022-10-01 00:00:00,Nova Scotia,0
