Reference period,Geography,VALUE
2021-12-01 00:00:00,Canada,1414673
2021-12-01 00:00:00,Newfoundland and Labrador,266
2021-12-01 00:00:00,Nova Scotia,21245
2021-12-01 00:00:00,New Brunswick,16590
2021-12-01 00:00:00,Quebec,0
2021-12-01 00:00:00,Ontario,26227
2021-12-01 00:00:00,Manitoba,590927
2021-12-01 00:00:00,Saskatchewan,9774
2021-12-01 00:00:00,Alberta,135574
2021-12-01 00:00:00,British Columbia,614070
2022-01-01 00:00:00,Canada,1818282
2022-01-01 00:00:00,Newfoundland and Labrador,0
2022-01-01 00:00:00,Nova Scotia,26605
2022-01-01 00:00:00,New Brunswick,16602
2022-01-01 00:00:00,Quebec,301827
2022-01-01 00:00:00,Ontario,97483
2022-01-01 00:00:00,Manitoba,676391
2022-01-01 00:00:00,Saskatchewan,5858
2022-01-01 00:00:00,Alberta,157915
2022-01-01 00:00:00,British Columbia,535601
2022-02-01 00:00:00,Canada,1616942
2022-02-01 00:00:00,Newfoundland and Labrador,0
2022-02-01 00:00:00,Nova Scotia,22846
2022-02-01 00:00:00,New Brunswick,19514
2022-02-01 00:00:00,Quebec,151022
2022-02-01 00:00:00,Ontario,45142
2022-02-01 00:00:00,Manitoba,540657
2022-02-01 00:00:00,Saskatchewan,2382
2022-02-01 00:00:00,Alberta,156708
2022-02-01 00:00:00,British Columbia,678671
2022-03-01 00:00:00,Canada,1320258
2022-03-01 00:00:00,Newfoundland and Labrador,0
2022-03-01 00:00:00,Nova Scotia,53616
2022-03-01 00:00:00,New Brunswick,9024
2022-03-01 00:00:00,Quebec,54394
2022-03-01 00:00:00,Ontario,22183
2022-03-01 00:00:00,Manitoba,168246
2022-03-01 00:00:00,Saskatchewan,5031
2022-03-01 00:00:00,Alberta,185377
2022-03-01 00:00:00,British Columbia,822387
2022-04-01 00:00:00,Canada,997394
2022-04-01 00:00:00,Newfoundland and Labrador,0
2022-04-01 00:00:00,Nova Scotia,30586
2022-04-01 00:00:00,New Brunswick,12301
2022-04-01 00:00:00,Quebec,80635
2022-04-01 00:00:00,Ontario,41475
2022-04-01 00:00:00,Manitoba,102965
2022-04-01 00:00:00,Saskatchewan,1532
2022-04-01 00:00:00,Alberta,145005
2022-04-01 00:00:00,British Columbia,582895
2022-05-01 00:00:00,Canada,1195525
2022-05-01 00:00:00,Newfoundland and Labrador,0
2022-05-01 00:00:00,Nova Scotia,38472
2022-05-01 00:00:00,New Brunswick,9682
2022-05-01 00:00:00,Quebec,63710
2022-05-01 00:00:00,Ontario,90333
2022-05-01 00:00:00,Manitoba,17797
2022-05-01 00:00:00,Saskatchewan,1588
2022-05-01 00:00:00,Alberta,119846
2022-05-01 00:00:00,British Columbia,854097
2022-06-01 00:00:00,Canada,1185989
2022-06-01 00:00:00,Newfoundland and Labrador,0
2022-06-01 00:00:00,Nova Scotia,50157
2022-06-01 00:00:00,New Brunswick,13125
2022-06-01 00:00:00,Quebec,806
2022-06-01 00:00:00,Ontario,5711
2022-06-01 00:00:00,Manitoba,16900
2022-06-01 00:00:00,Saskatchewan,0
2022-06-01 00:00:00,Alberta,167829
2022-06-01 00:00:00,British Columbia,931461
2022-07-01 00:00:00,Canada,966250
2022-07-01 00:00:00,Newfoundland and Labrador,0
2022-07-01 00:00:00,Nova Scotia,16303
2022-07-01 00:00:00,New Brunswick,32178
2022-07-01 00:00:00,Quebec,0
2022-07-01 00:00:00,Ontario,22824
2022-07-01 00:00:00,Manitoba,15616
2022-07-01 00:00:00,Saskatchewan,100
2022-07-01 00:00:00,Alberta,176293
2022-07-01 00:00:00,British Columbia,702936
2022-08-01 00:00:00,Canada,827456
2022-08-01 00:00:00,Newfoundland and Labrador,0
2022-08-01 00:00:00,Nova Scotia,19036
2022-08-01 00:00:00,New Brunswick,11155
2022-08-01 00:00:00,Quebec,403
2022-08-01 00:00:00,Ontario,60496
2022-08-01 00:00:00,Manitoba,5140
2022-08-01 00:00:00,Saskatchewan,975
2022-08-01 00:00:00,Alberta,156410
2022-08-01 00:00:00,British Columbia,573841
2022-09-01 00:00:00,Canada,1062070
2022-09-01 00:00:00,Newfoundland and Labrador,0
2022-09-01 00:00:00,Nova Scotia,13929
2022-09-01 00:00:00,New Brunswick,10557
2022-09-01 00:00:00,Quebec,912
2022-09-01 00:00:00,Ontario,55235
2022-09-01 00:00:00,Manitoba,12540
2022-09-01 00:00:00,Saskatchewan,0
2022-09-01 00:00:00,Alberta,99731
2022-09-01 00:00:00,British Columbia,869166
2022-10-01 00:00:00,Canada,1088199
2022-10-01 00:00:00,Newfoundland and Labrador,0
2022-10-01 00:00:00,Nova Scotia,47445
2022-10-01 00:00:00,New Brunswick,8024
2022-10-01 00:00:00,Quebec,696
2022-10-01 00:00:00,Ontario,48605
2022-10-01 00:00:00,Manitoba,16162
2022-10-01 00:00:00,Saskatchewan,0
2022-10-01 00:00:00,Alberta,68649
2022-10-01 00:00:00,British Columbia,898618
2022-11-01 00:00:00,Canada,1060463
2022-11-01 00:00:00,Newfoundland and Labrador,0
2022-11-01 00:00:00,Nova Scotia,37172
2022-11-01 00:00:00,New Brunswick,7703
2022-11-01 00:00:00,Quebec,37949
2022-11-01 00:00:00,Ontario,80320
2022-11-01 00:00:00,Manitoba,29631
2022-11-01 00:00:00,Saskatchewan,3847
2022-11-01 00:00:00,Alberta,134808
2022-11-01 00:00:00,British Columbia,729033
2022-12-01 00:00:00,Canada,957631
2022-12-01 00:00:00,Newfoundland and Labrador,0
2022-12-01 00:00:00,Nova Scotia,38513
2022-12-01 00:00:00,New Brunswick,14836
2022-12-01 00:00:00,Quebec,33026
2022-12-01 00:00:00,Ontario,59856
2022-12-01 00:00:00,Manitoba,68880
2022-12-01 00:00:00,Saskatchewan,26631
2022-12-01 00:00:00,Alberta,82940
2022-12-01 00:00:00,British Columbia,632949
2023-01-01 00:00:00,Canada,950228
2023-01-01 00:00:00,Newfoundland and Labrador,0
2023-01-01 00:00:00,Nova Scotia,32297
2023-01-01 00:00:00,New Brunswick,25004
2023-01-01 00:00:00,Quebec,7914
2023-01-01 00:00:00,Ontario,13499
2023-01-01 00:00:00,Manitoba,19395
2023-01-01 00:00:00,Saskatchewan,2510
2023-01-01 00:00:00,Alberta,49232
2023-01-01 00:00:00,British Columbia,800377
2023-02-01 00:00:00,Canada,1671204
2023-02-01 00:00:00,Newfoundland and Labrador,0
2023-02-01 00:00:00,Nova Scotia,24490
2023-02-01 00:00:00,New Brunswick,9213
2023-02-01 00:00:00,Quebec,172697
2023-02-01 00:00:00,Ontario,25484
2023-02-01 00:00:00,Manitoba,42812
2023-02-01 00:00:00,Saskatchewan,4676
2023-02-01 00:00:00,Alberta,67088
2023-02-01 00:00:00,British Columbia,1324744
2023-03-01 00:00:00,Canada,1465529
2023-03-01 00:00:00,Newfoundland and Labrador,0
2023-03-01 00:00:00,Nova Scotia,37769
2023-03-01 00:00:00,New Brunswick,13720
2023-03-01 00:00:00,Quebec,18433
2023-03-01 00:00:00,Ontario,23321
2023-03-01 00:00:00,Manitoba,14189
2023-03-01 00:00:00,Saskatchewan,642
2023-03-01 00:00:00,Alberta,109169
2023-03-01 00:00:00,British Columbia,1248286
2023-04-01 00:00:00,Canada,1471807
2023-04-01 00:00:00,Newfoundland and Labrador,0
2023-04-01 00:00:00,Nova Scotia,44757
2023-04-01 00:00:00,New Brunswick,7637
2023-04-01 00:00:00,Quebec,27583
2023-04-01 00:00:00,Ontario,8292
2023-04-01 00:00:00,Manitoba,35712
2023-04-01 00:00:00,Saskatchewan,3779
2023-04-01 00:00:00,Alberta,87700
2023-04-01 00:00:00,British Columbia,1256347
2023-05-01 00:00:00,Canada,1016570
2023-05-01 00:00:00,Newfoundland and Labrador,0
2023-05-01 00:00:00,Nova Scotia,10890
2023-05-01 00:00:00,New Brunswick,4095
2023-05-01 00:00:00,Quebec,3854
2023-05-01 00:00:00,Ontario,8046
2023-05-01 00:00:00,Manitoba,16757
2023-05-01 00:00:00,Saskatchewan,0
2023-05-01 00:00:00,Alberta,124471
2023-05-01 00:00:00,British Columbia,848457
2023-06-01 00:00:00,Canada,1641193
2023-06-01 00:00:00,Newfoundland and Labrador,0
2023-06-01 00:00:00,Nova Scotia,6131
2023-06-01 00:00:00,New Brunswick,683
2023-06-01 00:00:00,Quebec,26862
2023-06-01 00:00:00,Ontario,38194
2023-06-01 00:00:00,Manitoba,13632
2023-06-01 00:00:00,Saskatchewan,2519
2023-06-01 00:00:00,Alberta,95623
2023-06-01 00:00:00,British Columbia,1457549
2023-07-01 00:00:00,Canada,2286469
2023-07-01 00:00:00,Newfoundland and Labrador,0
2023-07-01 00:00:00,Nova Scotia,17092
2023-07-01 00:00:00,New Brunswick,1884
2023-07-01 00:00:00,Quebec,41070
2023-07-01 00:00:00,Ontario,89641
2023-07-01 00:00:00,Manitoba,10691
2023-07-01 00:00:00,Saskatchewan,2334
2023-07-01 00:00:00,Alberta,82377
2023-07-01 00:00:00,British Columbia,2041380
2023-08-01 00:00:00,Canada,1862310
2023-08-01 00:00:00,Newfoundland and Labrador,0
2023-08-01 00:00:00,Nova Scotia,6300
2023-08-01 00:00:00,New Brunswick,172
2023-08-01 00:00:00,Quebec,60410
2023-08-01 00:00:00,Ontario,17433
2023-08-01 00:00:00,Manitoba,81056
2023-08-01 00:00:00,Saskatchewan,634
2023-08-01 00:00:00,Alberta,74817
2023-08-01 00:00:00,British Columbia,1621488
2023-09-01 00:00:00,Canada,2468628
2023-09-01 00:00:00,Newfoundland and Labrador,0
2023-09-01 00:00:00,Nova Scotia,25202
2023-09-01 00:00:00,New Brunswick,534
2023-09-01 00:00:00,Quebec,80957
2023-09-01 00:00:00,Ontario,63897
2023-09-01 00:00:00,Manitoba,156315
2023-09-01 00:00:00,Saskatchewan,249
2023-09-01 00:00:00,Alberta,74334
2023-09-01 00:00:00,British Columbia,2067140
2023-10-01 00:00:00,Canada,2136546
2023-10-01 00:00:00,Newfoundland and Labrador,0
2023-10-01 00:00:00,Nova Scotia,24539
2023-10-01 00:00:00,New Brunswick,1311
2023-10-01 00:00:00,Quebec,106552
2023-10-01 00:00:00,Ontario,47473
2023-10-01 00:00:00,Manitoba,521650
2023-10-01 00:00:00,Saskatchewan,1624
2023-10-01 00:00:00,Alberta,49210
2023-10-01 00:00:00,British Columbia,1384187
2023-11-01 00:00:00,Canada,2190463
2023-11-01 00:00:00,Newfoundland and Labrador,0
2023-11-01 00:00:00,Nova Scotia,29342
2023-11-01 00:00:00,New Brunswick,364
2023-11-01 00:00:00,Quebec,134096
2023-11-01 00:00:00,Ontario,34686
2023-11-01 00:00:00,Manitoba,650420
2023-11-01 00:00:00,Saskatchewan,1886
2023-11-01 00:00:00,Alberta,65898
2023-11-01 00:00:00,British Columbia,1273771
2023-12-01 00:00:00,Canada,2579018
2023-12-01 00:00:00,Newfoundland and Labrador,0
2023-12-01 00:00:00,Nova Scotia,27519
2023-12-01 00:00:00,New Brunswick,1089
2023-12-01 00:00:00,Quebec,587555
2023-12-01 00:00:00,Ontario,11337
2023-12-01 00:00:00,Manitoba,427341
2023-12-01 00:00:00,Saskatchewan,1599
2023-12-01 00:00:00,Alberta,36799
2023-12-01 00:00:00,British Columbia,1485779
2024-01-01 00:00:00,Canada,2265249
2024-01-01 00:00:00,Newfoundland and Labrador,0
2024-01-01 00:00:00,Nova Scotia,30333
2024-01-01 00:00:00,New Brunswick,2692
2024-01-01 00:00:00,Quebec,407561
2024-01-01 00:00:00,Ontario,41980
2024-01-01 00:00:00,Manitoba,485678
2024-01-01 00:00:00,Saskatchewan,3704
2024-01-01 00:00:00,Alberta,39263
2024-01-01 00:00:00,British Columbia,1254038
2024-02-01 00:00:00,Canada,2710043
2024-02-01 00:00:00,Newfoundland and Labrador,0
2024-02-01 00:00:00,Nova Scotia,49484
2024-02-01 00:00:00,New Brunswick,1723
2024-02-01 00:00:00,Quebec,256799
2024-02-01 00:00:00,Ontario,13172
2024-02-01 00:00:00,Manitoba,373850
2024-02-01 00:00:00,Saskatchewan,561
2024-02-01 00:00:00,Alberta,72398
2024-02-01 00:00:00,British Columbia,1942056
2024-03-01 00:00:00,Canada,3338653
2024-03-01 00:00:00,Newfoundland and Labrador,0
2024-03-01 00:00:00,Nova Scotia,28166
2024-03-01 00:00:00,New Brunswick,383
2024-03-01 00:00:00,Quebec,529710
2024-03-01 00:00:00,Ontario,26079
2024-03-01 00:00:00,Manitoba,630615
2024-03-01 00:00:00,Saskatchewan,5107
2024-03-01 00:00:00,Alberta,88559
2024-03-01 00:00:00,British Columbia,2030034
2024-04-01 00:00:00,Canada,2634004
2024-04-01 00:00:00,Newfoundland and Labrador,0
2024-04-01 00:00:00,Nova Scotia,44286
2024-04-01 00:00:00,New Brunswick,1223
2024-04-01 00:00:00,Quebec,414462
2024-04-01 00:00:00,Ontario,42048
2024-04-01 00:00:00,Manitoba,459867
2024-04-01 00:00:00,Saskatchewan,3306
2024-04-01 00:00:00,Alberta,91956
2024-04-01 00:00:00,British Columbia,1576856
2024-05-01 00:00:00,Canada,1683719
2024-05-01 00:00:00,Newfoundland and Labrador,0
2024-05-01 00:00:00,Nova Scotia,26485
2024-05-01 00:00:00,New Brunswick,25433
2024-05-01 00:00:00,Quebec,108948
2024-05-01 00:00:00,Ontario,16924
2024-05-01 00:00:00,Manitoba,319406
2024-05-01 00:00:00,Saskatchewan,7556
2024-05-01 00:00:00,Alberta,75102
2024-05-01 00:00:00,British Columbia,1103865
2024-06-01 00:00:00,Canada,1467993
2024-06-01 00:00:00,Newfoundland and Labrador,0
2024-06-01 00:00:00,Nova Scotia,26042
2024-06-01 00:00:00,New Brunswick,4354
2024-06-01 00:00:00,Quebec,86109
2024-06-01 00:00:00,Ontario,89142
2024-06-01 00:00:00,Manitoba,10875
2024-06-01 00:00:00,Saskatchewan,5216
2024-06-01 00:00:00,Alberta,62237
2024-06-01 00:00:00,British Columbia,1184018
2024-07-01 00:00:00,Canada,1416258
2024-07-01 00:00:00,Newfoundland and Labrador,0
2024-07-01 00:00:00,Nova Scotia,49135
2024-07-01 00:00:00,New Brunswick,5943
2024-07-01 00:00:00,Quebec,55514
2024-07-01 00:00:00,Ontario,68930
2024-07-01 00:00:00,Manitoba,14207
2024-07-01 00:00:00,Saskatchewan,9983
2024-07-01 00:00:00,Alberta,45165
2024-07-01 00:00:00,British Columbia,1167381
2024-08-01 00:00:00,Canada,1388101
2024-08-01 00:00:00,Newfoundland and Labrador,0
2024-08-01 00:00:00,Nova Scotia,80809
2024-08-01 00:00:00,New Brunswick,15020
2024-08-01 00:00:00,Quebec,198880
2024-08-01 00:00:00,Ontario,56007
2024-08-01 00:00:00,Manitoba,16428
2024-08-01 00:00:00,Saskatchewan,4381
2024-08-01 00:00:00,Alberta,15199
2024-08-01 00:00:00,British Columbia,1001377
2024-09-01 00:00:00,Canada,1454769
2024-09-01 00:00:00,Newfoundland and Labrador,925
2024-09-01 00:00:00,Nova Scotia,52173
2024-09-01 00:00:00,New Brunswick,19201
2024-09-01 00:00:00,Quebec,371853
2024-09-01 00:00:00,Ontario,15209
2024-09-01 00:00:00,Manitoba,16604
2024-09-01 00:00:00,Saskatchewan,3798
2024-09-01 00:00:00,Alberta,17414
2024-09-01 00:00:00,British Columbia,957592
2024-10-01 00:00:00,Canada,1411793
2024-10-01 00:00:00,Newfoundland and Labrador,373
2024-10-01 00:00:00,Nova Scotia,57973
2024-10-01 00:00:00,New Brunswick,78779
2024-10-01 00:00:00,Quebec,536337
2024-10-01 00:00:00,Ontario,14864
2024-10-01 00:00:00,Manitoba,30778
2024-10-01 00:00:00,Saskatchewan,1972
2024-10-01 00:00:00,Alberta,48517
2024-10-01 00:00:00,British Columbia,642200
2024-11-01 00:00:00,Canada,1762733
2024-11-01 00:00:00,Newfoundland and Labrador,0
2024-11-01 00:00:00,Nova Scotia,25104
2024-11-01 00:00:00,New Brunswick,134979
2024-11-01 00:00:00,Quebec,492649
2024-11-01 00:00:00,Ontario,19927
2024-11-01 00:00:00,Manitoba,252584
2024-11-01 00:00:00,Saskatchewan,9052
2024-11-01 00:00:00,Alberta,72310
2024-11-01 00:00:00,British Columbia,756128
2024-12-01 00:00:00,Canada,1743700
2024-12-01 00:00:00,Newfoundland and Labrador,0
2024-12-01 00:00:00,Nova Scotia,33944
2024-12-01 00:00:00,New Brunswick,6653
2024-12-01 00:00:00,Quebec,422837
2024-12-01 00:00:00,Ontario,28408
2024-12-01 00:00:00,Manitoba,527437
2024-12-01 00:00:00,Saskatchewan,1017
2024-12-01 00:00:00,Alberta,21564
2024-12-01 00:00:00,British Columbia,701840
2025-01-01 00:00:00,Canada,1601666
2025-01-01 00:00:00,Newfoundland and Labrador,0
2025-01-01 00:00:00,Nova Scotia,10758
2025-01-01 00:00:00,New Brunswick,3336
2025-01-01 00:00:00,Quebec,279451
2025-01-01 00:00:00,Ontario,223611
2025-01-01 00:00:00,Manitoba,275758
2025-01-01 00:00:00,Saskatchewan,8335
2025-01-01 00:00:00,Alberta,26422
2025-01-01 00:00:00,British Columbia,773995
2025-02-01 00:00:00,Canada,1893268
2025-02-01 00:00:00,Newfoundland and Labrador,0
2025-02-01 00:00:00,Nova Scotia,16365
2025-02-01 00:00:00,New Brunswick,1168
2025-02-01 00:00:00,Quebec,454985
2025-02-01 00:00:00,Ontario,322617
2025-02-01 00:00:00,Manitoba,317067
2025-02-01 00:00:00,Saskatchewan,3877
2025-02-01 00:00:00,Alberta,30046
2025-02-01 00:00:00,British Columbia,747143
2025-03-01 00:00:00,Canada,2520889
2025-03-01 00:00:00,Newfoundland and Labrador,0
2025-03-01 00:00:00,Nova Scotia,11809
2025-03-01 00:00:00,New Brunswick,2730
2025-03-01 00:00:00,Quebec,891600
