Geography,Reference period,2 - value measure
Canada,2021-12-01 00:00:00,"60,476,265"
Canada,2022-01-01 00:00:00,"65,051,614"
Canada,2022-02-01 00:00:00,"56,206,968"
Canada,2022-03-01 00:00:00,"56,654,463"
Canada,2022-04-01 00:00:00,"50,183,519"
Canada,2022-05-01 00:00:00,"47,824,561"
Canada,2022-06-01 00:00:00,"47,600,642"
Canada,2022-07-01 00:00:00,"51,851,536"
Canada,2022-08-01 00:00:00,"53,761,764"
Canada,2022-09-01 00:00:00,"47,568,839"
Canada,2022-10-01 00:00:00,"48,092,344"
Canada,2022-11-01 00:00:00,"53,565,545"
Canada,2022-12-01 00:00:00,"61,729,948"
Canada,2023-01-01 00:00:00,"62,479,092"
Canada,2023-02-01 00:00:00,"56,345,641"
Canada,2023-03-01 00:00:00,"57,109,836"
Canada,2023-04-01 00:00:00,"49,082,503"
Canada,2023-05-01 00:00:00,"47,965,979"
Canada,2023-06-01 00:00:00,"46,016,573"
Canada,2023-07-01 00:00:00,"48,984,529"
Canada,2023-08-01 00:00:00,"47,528,207"
Canada,2023-09-01 00:00:00,"44,330,535"
Canada,2023-10-01 00:00:00,"46,148,910"
Canada,2023-11-01 00:00:00,"52,875,793"
Canada,2023-12-01 00:00:00,"56,465,227"
Canada,2024-01-01 00:00:00,"62,908,024"
Canada,2024-02-01 00:00:00,"53,562,088"
Canada,2024-03-01 00:00:00,"51,867,855"
Canada,2024-04-01 00:00:00,"45,682,255"
Canada,2024-05-01 00:00:00,"44,333,066"
Canada,2024-06-01 00:00:00,"45,625,473"
Canada,2024-07-01 00:00:00,"51,886,527"
Canada,2024-08-01 00:00:00,"48,971,271"
Canada,2024-09-01 00:00:00,"45,523,263"
Canada,2024-10-01 00:00:00,"47,256,595"
Canada,2024-11-01 00:00:00,"50,280,225"
Canada,2024-12-01 00:00:00,"61,591,446"
Canada,2025-01-01 00:00:00,"66,771,096"
Canada,2025-02-01 00:00:00,"59,239,467"
Canada,2025-03-01 00:00:00,"56,597,157"
Canada,2025-04-01 00:00:00,"48,847,964"
Canada,2025-05-01 00:00:00,"46,461,202"
Canada,2025-06-01 00:00:00,"46,002,019"
Canada,2025-07-01 00:00:00,"50,015,631"
Canada,2025-08-01 00:00:00,"47,559,867"
Canada,2025-09-01 00:00:00,"44,426,249"
Canada,2025-10-01 00:00:00,"46,241,161"
Canada,2025-11-01 00:00:00,"51,227,055"
Newfoundland and Labrador,2021-12-01 00:00:00,"4,444,787"
Newfoundland and Labrador,2022-01-01 00:00:00,"4,501,677"
Newfoundland and Labrador,2022-02-01 00:00:00,"4,119,837"
Newfoundland and Labrador,2022-03-01 00:00:00,"4,202,358"
Newfoundland and Labrador,2022-04-01 00:00:00,"3,356,896"
Newfoundland and Labrador,2022-05-01 00:00:00,"2,939,704"
Newfoundland and Labrador,2022-06-01 00:00:00,"2,822,154"
Newfoundland and Labrador,2022-07-01 00:00:00,"2,791,548"
Newfoundland and Labrador,2022-08-01 00:00:00,"2,773,519"
Newfoundland and Labrador,2022-09-01 00:00:00,"2,898,681"
Newfoundland and Labrador,2022-10-01 00:00:00,"3,059,730"
Newfoundland and Labrador,2022-11-01 00:00:00,"4,113,775"
Newfoundland and Labrador,2022-12-01 00:00:00,"3,982,170"
Newfoundland and Labrador,2023-01-01 00:00:00,"4,619,205"
Newfoundland and Labrador,2023-02-01 00:00:00,"4,638,345"
Newfoundland and Labrador,2023-03-01 00:00:00,"4,962,936"
Newfoundland and Labrador,2023-04-01 00:00:00,"3,949,694"
Newfoundland and Labrador,2023-05-01 00:00:00,"3,202,546"
Newfoundland and Labrador,2023-06-01 00:00:00,"2,695,193"
Newfoundland and Labrador,2023-07-01 00:00:00,"3,047,061"
Newfoundland and Labrador,2023-08-01 00:00:00,"3,139,042"
Newfoundland and Labrador,2023-09-01 00:00:00,"2,993,643"
Newfoundland and Labrador,2023-10-01 00:00:00,"3,335,319"
Newfoundland and Labrador,2023-11-01 00:00:00,"4,632,345"
Newfoundland and Labrador,2023-12-01 00:00:00,"4,896,408"
Newfoundland and Labrador,2024-01-01 00:00:00,"5,098,267"
Newfoundland and Labrador,2024-02-01 00:00:00,"4,595,080"
