Geography,Reference period,3 - value measure
Canada,2021-12-01 00:00:00,"57,031,344"
Canada,2022-01-01 00:00:00,"61,508,507"
Canada,2022-02-01 00:00:00,"53,446,014"
Canada,2022-03-01 00:00:00,"53,685,107"
Canada,2022-04-01 00:00:00,"46,586,292"
Canada,2022-05-01 00:00:00,"43,847,870"
Canada,2022-06-01 00:00:00,"42,340,050"
Canada,2022-07-01 00:00:00,"45,335,202"
Canada,2022-08-01 00:00:00,"46,578,221"
Canada,2022-09-01 00:00:00,"42,694,215"
Canada,2022-10-01 00:00:00,"44,569,444"
Canada,2022-11-01 00:00:00,"50,663,989"
Canada,2022-12-01 00:00:00,"57,527,102"
Canada,2023-01-01 00:00:00,"57,997,176"
Canada,2023-02-01 00:00:00,"53,438,984"
Canada,2023-03-01 00:00:00,"53,950,048"
Canada,2023-04-01 00:00:00,"45,868,418"
Canada,2023-05-01 00:00:00,"44,059,784"
Canada,2023-06-01 00:00:00,"43,340,997"
Canada,2023-07-01 00:00:00,"46,947,986"
Canada,2023-08-01 00:00:00,"45,443,742"
Canada,2023-09-01 00:00:00,"43,478,385"
Canada,2023-10-01 00:00:00,"45,444,989"
Canada,2023-11-01 00:00:00,"51,906,730"
Canada,2023-12-01 00:00:00,"55,750,510"
Canada,2024-01-01 00:00:00,"61,288,076"
Canada,2024-02-01 00:00:00,"53,623,210"
Canada,2024-03-01 00:00:00,"53,218,010"
Canada,2024-04-01 00:00:00,"46,649,044"
Canada,2024-05-01 00:00:00,"44,083,092"
Canada,2024-06-01 00:00:00,"43,550,085"
Canada,2024-07-01 00:00:00,"48,495,387"
Canada,2024-08-01 00:00:00,"46,651,285"
Canada,2024-09-01 00:00:00,"43,663,398"
Canada,2024-10-01 00:00:00,"45,987,537"
Canada,2024-11-01 00:00:00,"49,889,472"
Canada,2024-12-01 00:00:00,"59,888,202"
Canada,2025-01-01 00:00:00,"63,601,984"
Canada,2025-02-01 00:00:00,"57,649,146"
Canada,2025-03-01 00:00:00,"57,068,097"
Canada,2025-04-01 00:00:00,"47,990,441"
Canada,2025-05-01 00:00:00,"45,345,329"
Canada,2025-06-01 00:00:00,"44,782,948"
Canada,2025-07-01 00:00:00,"48,847,791"
Canada,2025-08-01 00:00:00,"47,429,279"
Canada,2025-09-01 00:00:00,"43,836,700"
Canada,2025-10-01 00:00:00,"46,528,692"
Canada,2025-11-01 00:00:00,"52,548,957"
Newfoundland and Labrador,2021-12-01 00:00:00,"830,821"
Newfoundland and Labrador,2022-01-01 00:00:00,"887,826"
Newfoundland and Labrador,2022-02-01 00:00:00,"752,737"
Newfoundland and Labrador,2022-03-01 00:00:00,"756,918"
Newfoundland and Labrador,2022-04-01 00:00:00,"686,123"
Newfoundland and Labrador,2022-05-01 00:00:00,"524,176"
Newfoundland and Labrador,2022-06-01 00:00:00,"674,876"
Newfoundland and Labrador,2022-07-01 00:00:00,"601,566"
Newfoundland and Labrador,2022-08-01 00:00:00,"684,606"
Newfoundland and Labrador,2022-09-01 00:00:00,"680,140"
Newfoundland and Labrador,2022-10-01 00:00:00,"817,304"
Newfoundland and Labrador,2022-11-01 00:00:00,"1,017,971"
Newfoundland and Labrador,2022-12-01 00:00:00,"1,131,205"
Newfoundland and Labrador,2023-01-01 00:00:00,"1,230,559"
Newfoundland and Labrador,2023-02-01 00:00:00,"1,272,487"
Newfoundland and Labrador,2023-03-01 00:00:00,"1,224,705"
Newfoundland and Labrador,2023-04-01 00:00:00,"925,900"
Newfoundland and Labrador,2023-05-01 00:00:00,"933,348"
Newfoundland and Labrador,2023-06-01 00:00:00,"820,197"
Newfoundland and Labrador,2023-07-01 00:00:00,"714,052"
Newfoundland and Labrador,2023-08-01 00:00:00,"745,753"
Newfoundland and Labrador,2023-09-01 00:00:00,"718,676"
Newfoundland and Labrador,2023-10-01 00:00:00,"817,346"
Newfoundland and Labrador,2023-11-01 00:00:00,"1,050,354"
Newfoundland and Labrador,2023-12-01 00:00:00,"1,156,050"
Newfoundland and Labrador,2024-01-01 00:00:00,"1,228,782"
Newfoundland and Labrador,2024-02-01 00:00:00,"1,077,995"
Newfoundland and Labrador,2024-03-01 00:00:00,"1,043,545"
Newfoundland and Labrador,2024-04-01 00:00:00,"781,743"
Newfoundland and Labrador,2024-05-01 00:00:00,"745,371"
Newfoundland and Labrador,2024-06-01 00:00:00,"669,984"
Newfoundland and Labrador,2024-07-01 00:00:00,"622,615"
Newfoundland and Labrador,2024-08-01 00:00:00,"708,853"
Newfoundland and Labrador,2024-09-01 00:00:00,"694,393"
Newfoundland and Labrador,2024-10-01 00:00:00,"900,014"
Newfoundland and Labrador,2024-11-01 00:00:00,"1,073,342"
Newfoundland and Labrador,2024-12-01 00:00:00,"1,280,961"
Newfoundland and Labrador,2025-01-01 00:00:00,"1,237,964"
Newfoundland and Labrador,2025-02-01 00:00:00,"1,233,480"
Newfoundland and Labrador,2025-03-01 00:00:00,"1,193,603"
Newfoundland and Labrador,2025-04-01 00:00:00,"1,028,297"
Newfoundland and Labrador,2025-05-01 00:00:00,"873,821"
Newfoundland and Labrador,2025-06-01 00:00:00,"730,008"
Newfoundland and Labrador,2025-07-01 00:00:00,"709,588"
Newfoundland and Labrador,2025-08-01 00:00:00,"748,895"
Newfoundland and Labrador,2025-09-01 00:00:00,"735,836"
Newfoundland and Labrador,2025-10-01 00:00:00,"903,939"
Newfoundland and Labrador,2025-11-01 00:00:00,"1,103,838"
Prince Edward Island,2021-12-01 00:00:00,"160,025"
Prince Edward Island,2022-01-01 00:00:00,"173,892"
Prince Edward Island,2022-02-01 00:00:00,"138,145"
Prince Edward Island,2022-03-01 00:00:00,"158,100"
Prince Edward Island,2022-04-01 00:00:00,"129,091"
Prince Edward Island,2022-05-01 00:00:00,"122,467"
